Wall Structure,Wall Insulation,Glazing,Frame,Shading Position,WWR,Balcony Depth,Floor WDR,Operational GWP,Facade GWP,sDA,Glazing area
3,4,2,4,4,1,4,1,0.96,1.91,0.2721,133.03
2,4,2,4,4,1,4,1,0.96,2.35,0.282,133.03
3,3,2,4,4,1,4,1,0.96,1.04,0.2712,133.03
3,4,3,4,4,1,4,1,0.92,1.78,0.2856,133.03
3,4,2,4,4,1,4,1,0.96,1.74,0.2865,133.03
3,4,2,4,2,1,4,1,0.96,1.74,0.3225,133.03
3,4,2,4,4,1,1,1,0.82,2.17,0.2989,133.03
3,4,2,4,4,1,4,1,0.96,1.74,0.2595,133.03
3,4,2,4,4,1,4,1,0.96,1.74,0.2766,133.03
3,4,2,4,4,1,4,1,0.96,1.74,0.282,133.03
3,4,2,4,4,1,4,1,0.96,1.74,0.2901,133.03
4,2,2,2,4,1,3,1,0.92,0.85,0.2162,133.03
2,2,2,2,4,1,3,1,0.92,1.68,0.2036,133.03
4,4,2,2,4,1,3,1,0.92,1.85,0.2144,133.03
4,2,1,2,4,1,3,1,0.93,1.07,0.2234,133.03
4,2,2,1,4,1,3,1,0.92,1.07,0.2009,133.03
4,2,2,2,1,1,3,1,0.92,0.9,0.3036,133.03
4,2,2,2,4,1,1,1,0.78,1.34,0.2149,133.03
4,2,2,2,4,1,3,1,0.92,1.09,0.2036,133.03
4,2,2,2,4,1,3,1,0.92,1.09,0.209,133.03
4,2,2,2,4,1,3,1,0.92,1.09,0.2063,133.03
4,2,2,2,4,1,3,1,0.92,1.09,0.1937,133.03
4,4,4,1,2,1,1,1,0.72,2.38,0.2032,133.03
4,3,2,2,3,1,4,1,0.92,1.21,0.2919,133.03
4,3,2,2,3,1,4,1,0.92,0.98,0.2748,133.03
4,4,2,2,3,1,4,1,0.92,1.63,0.2775,133.03
4,3,4,2,3,1,4,1,0.87,1.05,0.236,133.03
4,3,2,1,3,1,4,1,0.92,0.96,0.2604,133.03
4,3,2,2,2,1,4,1,0.92,0.98,0.2964,133.03
4,3,2,2,3,1,1,1,0.78,1.2,0.2649,133.03
4,3,2,2,3,1,4,1,0.92,0.98,0.2721,133.03
4,3,2,2,3,1,4,1,0.92,0.98,0.2559,133.03
4,3,2,2,3,1,4,1,0.92,0.98,0.2847,133.03
4,3,2,2,3,1,4,1,0.92,0.98,0.2991,133.03
4,3,2,2,3,1,4,1,0.92,0.98,0.2676,133.03
4,1,2,3,3,1,1,1,0.82,1.32,0.2532,133.03
1,1,4,4,1,1,3,1,0.9,2.04,0.2712,133.03
4,2,4,2,4,1,1,1,0.72,1.35,0.2053,133.03
2,3,4,2,1,1,4,1,0.87,1.71,0.2955,133.03
4,3,2,4,1,1,1,1,0.82,1.83,0.367,133.03
3,1,2,4,3,1,3,1,0.96,1.76,0.2297,133.03
4,1,2,4,3,1,3,1,0.96,1.27,0.2225,133.03
3,3,2,4,3,1,3,1,0.96,1.27,0.2252,133.03
3,1,2,4,3,1,3,1,0.96,1.33,0.2144,133.03
3,1,2,4,3,1,3,1,0.96,1.33,0.2387,133.03
3,1,2,4,1,1,3,1,0.96,1.15,0.2883,133.03
3,1,2,4,3,1,1,1,0.82,1.65,0.2415,133.03
3,1,2,4,3,1,3,1,0.96,1.33,0.2252,133.03
3,1,2,4,3,1,3,1,0.96,1.33,0.2658,133.03
3,1,2,4,3,1,3,1,0.96,1.33,0.2333,133.03
3,1,2,4,3,1,3,1,0.96,1.33,0.2243,133.03
3,1,2,4,3,1,3,1,0.96,1.33,0.2144,133.03
4,1,1,4,2,1,2,1,0.91,1.14,0.377,133.03
4,1,1,4,2,1,2,1,0.91,1.05,0.3621,133.03
2,1,1,4,2,1,2,1,0.91,1.85,0.379,133.03
4,3,1,4,2,1,2,1,0.91,1.08,0.3671,133.03
4,1,1,4,2,1,2,1,0.91,1.14,0.3651,133.03
4,1,1,3,2,1,2,1,0.91,1.19,0.3849,133.03
4,1,1,4,4,1,2,1,0.91,1.14,0.3562,133.03
4,1,1,4,2,1,1,1,0.84,1.27,0.3638,133.03
4,1,1,4,2,1,2,1,0.91,1.14,0.377,133.03
4,1,1,4,2,1,2,1,0.91,1.14,0.3929,133.03
4,1,1,4,2,1,2,1,0.91,1.32,0.3641,133.03
4,1,1,4,2,1,2,1,0.91,1.14,0.3938,133.03
2,3,1,3,4,1,1,1,0.84,2.01,0.3415,133.03
4,4,3,2,3,1,2,1,0.83,2.13,0.2996,133.03
4,4,3,2,3,1,2,1,0.83,1.78,0.2927,133.03
3,4,3,2,3,1,2,1,0.83,2.26,0.2927,133.03
4,1,3,2,3,1,2,1,0.83,1.48,0.3006,133.03
4,4,3,2,3,1,2,1,0.83,2.13,0.2937,133.03
4,4,3,1,3,1,2,1,0.83,2.11,0.3135,133.03
4,4,3,2,2,1,2,1,0.83,2.13,0.3065,133.03
4,4,3,2,3,1,2,1,0.83,2.13,0.3036,133.03
4,4,3,2,3,1,2,1,0.83,2.13,0.2798,133.03
4,4,3,2,3,1,2,1,0.83,2.59,0.2986,133.03
4,4,3,2,3,1,2,1,0.83,2.13,0.2976,133.03
4,3,1,3,4,1,2,1,0.91,1.37,0.2897,133.03
4,3,1,3,4,1,2,1,0.91,1.37,0.2907,133.03
4,3,1,3,4,1,2,1,0.91,1.37,0.3115,133.03
4,3,1,3,4,1,2,1,0.91,1.37,0.2847,133.03
4,3,3,3,4,1,2,1,0.86,1.43,0.2599,133.03
4,3,1,3,4,1,2,1,0.91,1.37,0.3026,133.03
4,3,1,3,2,1,2,1,0.91,1.37,0.3383,133.03
4,3,1,3,4,1,1,1,0.84,1.52,0.2777,133.03
4,3,1,3,4,1,2,1,0.91,1.37,0.3065,133.03
4,3,1,3,4,1,2,1,0.91,1.37,0.2996,133.03
4,3,1,3,4,1,2,1,0.91,1.37,0.2956,133.03
4,2,3,1,1,1,2,1,0.83,0.76,0.3085,133.03
4,2,3,1,1,1,2,1,0.83,1.03,0.3115,133.03
1,2,3,1,1,1,2,1,0.83,1.97,0.3155,133.03
4,1,3,1,1,1,2,1,0.83,0.97,0.3075,133.03
4,2,1,1,1,1,2,1,0.87,0.7,0.374,133.03
4,2,3,1,1,1,2,1,0.83,0.76,0.3105,133.03
4,2,3,1,4,1,2,1,0.83,0.96,0.2361,133.03
4,2,3,1,1,1,2,1,0.83,0.76,0.3294,133.03
4,2,3,1,1,1,2,1,0.83,0.76,0.3085,133.03
4,2,3,1,1,1,2,1,0.83,0.76,0.3363,133.03
4,2,3,1,1,1,2,1,0.83,0.76,0.3264,133.03
4,2,3,1,1,1,2,1,0.83,0.76,0.3264,133.03
1,1,1,1,4,1,2,1,0.87,2.62,0.2986,133.03
2,3,2,4,4,1,4,1,0.96,1.59,0.2595,133.03
1,3,4,1,3,1,4,1,0.87,2.31,0.2171,133.03
1,4,1,1,1,1,1,1,0.8,4.18,0.3436,133.03
2,2,3,4,4,1,3,1,0.92,1.48,0.2081,133.03
2,2,4,2,1,1,4,1,0.87,1.57,0.3045,133.03
4,1,2,3,1,1,3,1,0.96,1.13,0.3126,133.03
2,1,2,3,1,1,3,1,0.96,1.69,0.327,133.03
4,2,2,3,1,1,3,1,0.96,0.89,0.3297,133.03
4,1,4,3,1,1,3,1,0.9,1.15,0.2856,133.03
4,1,2,2,1,1,3,1,0.92,1.03,0.3063,133.03
4,1,2,3,1,1,3,1,0.96,1.07,0.336,133.03
4,1,2,3,1,1,4,1,0.96,1.07,0.3351,133.03
4,1,2,3,1,1,3,1,0.96,1.07,0.3369,133.03
4,1,2,3,1,1,3,1,0.96,1.07,0.3459,133.03
4,1,2,3,1,1,3,1,0.96,1.07,0.318,133.03
4,1,2,3,1,1,3,1,0.96,1.07,0.3153,133.03
4,1,2,3,1,1,3,1,0.96,1.07,0.3234,133.03
2,1,2,3,2,1,4,1,0.96,1.96,0.2405,133.03
3,3,2,1,1,1,4,1,0.92,1.5,0.2955,133.03
2,3,2,1,1,1,4,1,0.92,2.05,0.3045,133.03
3,1,2,1,1,1,4,1,0.92,1.56,0.2973,133.03
3,3,2,1,1,1,4,1,0.92,1.5,0.2811,133.03
3,3,2,3,1,1,4,1,0.96,1.56,0.2928,133.03
3,3,2,1,2,1,4,1,0.92,1.68,0.2604,133.03
3,3,2,1,1,1,4,1,0.92,1.5,0.3009,133.03
3,3,2,1,1,1,4,1,0.92,1.5,0.2955,133.03
3,3,2,1,1,1,4,1,0.92,1.5,0.3063,133.03
3,3,2,1,1,1,4,1,0.92,1.09,0.3063,133.03
3,3,2,1,1,1,4,1,0.92,1.5,0.2964,133.03
3,3,2,1,1,1,4,1,0.92,1.5,0.2892,133.03
2,4,4,1,3,1,4,1,0.87,2.43,0.2099,133.03
2,1,4,3,3,1,3,1,0.9,2.44,0.2396,133.03
1,3,3,4,2,1,1,1,0.78,2.93,0.2883,133.03
1,4,3,2,4,1,4,1,0.9,3.13,0.2405,133.03
2,3,3,2,3,1,3,1,0.9,1.8,0.2775,133.03
2,3,3,2,3,1,3,1,0.9,1.86,0.2667,133.03
2,1,3,2,3,1,3,1,0.9,1.93,0.2757,133.03
2,3,2,2,3,1,3,1,0.92,1.82,0.2703,133.03
2,3,3,2,3,1,3,1,0.9,1.86,0.2757,133.03
2,3,3,2,3,1,3,1,0.9,1.86,0.2784,133.03
2,3,3,2,3,1,2,1,0.83,2.07,0.3313,133.03
2,3,3,2,3,1,3,1,0.9,1.86,0.2261,133.03
2,3,3,2,3,1,3,1,0.9,1.67,0.2595,133.03
2,3,3,2,3,1,3,1,0.9,1.86,0.273,133.03
2,3,3,2,3,1,3,1,0.9,1.86,0.2766,133.03
1,1,3,4,3,1,4,1,0.92,2.12,0.2757,133.03
2,1,3,4,3,1,4,1,0.92,1.63,0.2622,133.03
1,2,3,4,3,1,4,1,0.92,1.89,0.2892,133.03
1,1,4,4,3,1,4,1,0.9,2.15,0.2198,133.03
1,1,3,3,3,1,4,1,0.92,2.16,0.2712,133.03
1,1,3,4,4,1,4,1,0.92,2.12,0.2514,133.03
1,1,3,4,3,1,2,1,0.86,2.36,0.2679,133.03
1,1,3,4,3,1,4,1,0.92,2.12,0.3162,133.03
1,1,3,4,3,1,4,1,0.92,2.19,0.2757,133.03
1,1,3,4,3,1,4,1,0.92,2.12,0.2721,133.03
1,1,3,4,3,1,4,1,0.92,2.12,0.2613,133.03
1,2,2,4,3,1,4,1,0.96,2.59,0.2559,133.03
1,2,2,4,3,1,4,1,0.96,2.59,0.2622,133.03
2,2,2,4,3,1,4,1,0.96,2.11,0.2532,133.03
1,4,2,4,3,1,4,1,0.96,3.52,0.2919,133.03
1,2,1,4,3,1,4,1,0.97,2.57,0.3027,133.03
1,2,2,4,3,1,4,1,0.96,2.59,0.2685,133.03
1,2,2,4,1,1,4,1,0.96,2.4,0.2973,133.03
1,2,2,4,3,1,2,1,0.9,2.89,0.2629,133.03
1,2,2,4,3,1,4,1,0.96,2.59,0.2649,133.03
1,2,2,4,3,1,4,1,0.96,2.59,0.2946,133.03
1,2,2,4,3,1,4,1,0.96,2.18,0.2658,133.03
1,2,2,4,3,1,4,1,0.96,2.59,0.2595,133.03
2,4,1,4,1,1,2,1,0.91,2.69,0.4137,133.03
1,3,4,2,2,1,4,1,0.87,2.33,0.2216,133.03
1,3,4,2,2,1,4,1,0.87,2.81,0.2117,133.03
3,3,4,2,2,1,4,1,0.87,1.29,0.2153,133.03
1,2,4,2,2,1,4,1,0.87,2.17,0.2117,133.03
1,3,3,2,2,1,4,1,0.9,2.29,0.2856,133.03
1,3,4,2,2,1,4,1,0.87,2.33,0.2207,133.03
1,3,4,2,3,1,4,1,0.87,2.33,0.2099,133.03
1,3,4,2,2,1,1,1,0.72,2.91,0.1979,133.03
1,3,4,2,2,1,4,1,0.87,2.33,0.2279,133.03
1,3,4,2,2,1,4,1,0.87,2.17,0.209,133.03
1,3,4,2,2,1,4,1,0.87,2.33,0.2225,133.03
2,4,4,3,1,1,1,2,0.75,3.23,0.3237,148.74
1,4,1,2,1,1,4,2,0.95,2.8,0.3996,148.74
2,1,2,1,4,1,1,2,0.79,2.12,0.2468,148.74
4,2,3,4,3,1,3,2,0.94,1.1,0.3499,148.74
2,2,4,2,2,1,3,2,0.88,2.2,0.2416,148.74
2,2,4,2,2,1,3,2,0.88,1.55,0.2531,148.74
2,2,4,2,2,1,3,2,0.88,1.55,0.2602,148.74
2,2,1,2,2,1,3,2,0.95,1.44,0.3659,148.74
2,2,4,2,2,1,3,2,0.88,1.55,0.2416,148.74
2,2,4,2,3,1,3,2,0.88,1.55,0.2558,148.74
2,2,4,2,2,1,1,2,0.72,1.94,0.2041,148.74
2,2,4,2,2,1,3,2,0.88,1.55,0.2931,148.74
2,2,4,2,2,1,3,2,0.88,1.55,0.238,148.74
2,2,4,2,2,1,3,2,0.88,1.55,0.2629,148.74
2,2,4,2,2,1,3,2,0.88,1.55,0.2593,148.74
4,4,3,4,1,1,3,2,0.94,1.5,0.3419,148.74
4,4,3,4,1,1,3,2,0.94,1.51,0.3659,148.74
4,4,3,4,1,1,3,2,0.94,1.5,0.3703,148.74
4,4,3,4,1,1,3,2,0.94,1.5,0.3544,148.74
4,4,2,4,1,1,3,2,0.98,1.45,0.3597,148.74
4,4,3,4,1,1,3,2,0.94,1.5,0.3694,148.74
4,4,3,4,4,1,3,2,0.94,1.7,0.2318,148.74
4,4,3,4,1,1,1,2,0.79,1.91,0.3109,148.74
4,4,3,4,1,1,3,2,0.94,1.5,0.3934,148.74
4,4,3,4,1,1,3,2,0.94,1.65,0.3632,148.74
4,4,3,4,1,1,3,2,0.94,1.5,0.3579,148.74
4,1,1,2,4,1,3,2,0.95,1.29,0.2584,148.74
4,1,1,2,4,1,3,2,0.95,1.08,0.286,148.74
1,1,1,2,4,1,3,2,0.95,2.38,0.2753,148.74
4,2,1,2,4,1,3,2,0.95,1.12,0.286,148.74
4,1,4,2,4,1,3,2,0.88,1.4,0.1998,148.74
4,1,1,2,4,1,3,2,0.95,1.29,0.2655,148.74
4,1,1,2,2,1,3,2,0.95,1.29,0.3579,148.74
4,1,1,2,4,1,2,2,0.88,1.45,0.3162,148.74
4,1,1,2,4,1,3,2,0.95,1.29,0.286,148.74
4,1,1,2,4,1,3,2,0.95,1.69,0.2744,148.74
4,1,1,2,4,1,3,2,0.95,1.29,0.2753,148.74
4,2,3,3,3,1,3,2,0.94,1.2,0.3375,148.74
4,2,3,3,3,1,3,2,0.94,0.97,0.3393,148.74
2,2,3,3,3,1,3,2,0.94,1.78,0.3233,148.74
4,4,3,3,3,1,3,2,0.94,1.95,0.3233,148.74
4,2,4,3,3,1,3,2,0.91,1.25,0.2593,148.74
4,2,3,4,3,1,3,2,0.94,1.15,0.3268,148.74
4,2,3,3,2,1,3,2,0.94,1.2,0.3499,148.74
4,2,3,3,3,1,1,2,0.79,1.5,0.2767,148.74
4,2,3,3,3,1,3,2,0.94,1.2,0.3686,148.74
4,2,3,3,3,1,3,2,0.94,1.02,0.3153,148.74
4,2,3,3,3,1,3,2,0.94,1.2,0.3437,148.74
1,4,4,4,2,1,4,2,0.91,3.16,0.2753,148.74
2,4,4,4,2,1,4,2,0.91,2.65,0.278,148.74
1,1,4,4,2,1,4,2,0.91,2.46,0.2753,148.74
1,4,3,4,2,1,4,2,0.94,3.12,0.3615,148.74
1,4,4,3,2,1,4,2,0.91,3.21,0.2789,148.74
1,4,4,4,4,1,4,2,0.91,3.16,0.2131,148.74
1,4,4,4,2,1,1,2,0.75,4.03,0.2169,148.74
1,4,4,4,2,1,4,2,0.91,3.16,0.2575,148.74
1,4,4,4,2,1,4,2,0.91,3.16,0.2824,148.74
1,4,4,4,2,1,4,2,0.91,3.16,0.2771,148.74
1,4,4,4,2,1,4,2,0.91,3.16,0.2744,148.74
4,3,1,1,2,1,3,2,0.95,0.96,0.444,148.74
4,3,1,1,2,1,3,2,0.95,0.96,0.4503,148.74
3,3,1,1,2,1,3,2,0.95,1.03,0.4227,148.74
4,2,1,1,2,1,3,2,0.95,0.84,0.452,148.74
4,3,2,1,2,1,3,2,0.94,0.98,0.3757,148.74
4,3,1,2,2,1,3,2,0.95,0.98,0.4547,148.74
4,3,1,1,4,1,3,2,0.95,0.96,0.3224,148.74
4,3,1,1,2,1,2,2,0.88,1.07,0.4417,148.74
4,3,1,1,2,1,3,2,0.95,0.96,0.365,148.74
4,3,1,1,2,1,3,2,0.95,0.89,0.4343,148.74
4,3,1,1,2,1,3,2,0.95,0.96,0.4378,148.74
1,1,4,4,1,1,3,2,0.91,2.03,0.3171,148.74
4,1,4,4,1,1,3,2,0.91,0.94,0.3126,148.74
1,1,4,4,1,1,3,2,0.91,2.03,0.2975,148.74
1,1,2,4,1,1,3,2,0.98,1.95,0.3579,148.74
1,1,4,3,1,1,3,2,0.91,2.08,0.294,148.74
1,1,4,4,3,1,3,2,0.91,2.24,0.254,148.74
1,1,4,4,1,1,1,2,0.75,2.6,0.2468,148.74
1,1,4,4,1,1,3,2,0.91,2.03,0.3188,148.74
1,1,4,4,1,1,3,2,0.91,2.03,0.3197,148.74
1,1,4,4,1,1,3,2,0.91,2.03,0.3171,148.74
1,1,4,4,1,1,3,2,0.91,2.03,0.2984,148.74
2,3,4,2,1,1,4,2,0.88,1.66,0.3321,148.74
4,3,4,2,1,1,4,2,0.88,1.11,0.2904,148.74
2,2,4,2,1,1,4,2,0.88,1.57,0.3313,148.74
2,3,4,2,1,1,4,2,0.88,1.71,0.3206,148.74
